2012-11-09 15:29,2009-08-31 22:13,DeltaT2CoolingZoneInSpec
2009-08-31 21:44,2009-08-31 22:29,RuntimeExcessive
2009-08-31 13:59,2009-08-31 22:44,PowerFactor
2009-09-01 7:44,2009-09-01 8:14,PowerFactor
2009-09-01 8:44,2009-09-01 9:29,PowerFactor
2009-09-01 9:44,2009-09-01 15:30,PowerFactor
2009-09-01 15:44,2009-09-01 15:59,PowerFactor
2009-09-01 16:14,2009-09-01 16:29,PowerFactor
2009-09-01 16:59,2009-09-01 17:30,PowerFactor
2009-09-01 21:59,2009-09-01 22:14,RuntimeExcessive
2009-09-01 18:44,2009-09-01 22:44,PowerFactor
2009-09-01 17:55,2009-09-02 0:00,NOCOMMS
2009-09-02 8:44,2009-09-02 13:44,PowerFactor
2009-09-02 13:59,2009-09-02 14:44,PowerFactor
2009-09-02 15:59,2009-09-02 16:29,PowerFactor
2009-09-02 21:44,2009-09-02 22:29,RuntimeExcessive
2009-09-02 16:59,2009-09-02 22:44,PowerFactor
2009-09-03 8:45,2009-09-03 9:30,PowerFactor
2009-09-03 9:44,2009-09-03 14:29,PowerFactor
2009-09-03 14:44,2009-09-03 15:14,PowerFactor
2009-09-03 15:44,2009-09-03 16:45,PowerFactor
2009-09-03 21:59,2009-09-03 22:14,RuntimeExcessive
2009-09-03 16:59,2009-09-03 22:44,PowerFactor
2009-09-04 8:44,2009-09-04 8:59,PowerFactor
2009-09-04 10:44,2009-09-04 11:14,DeltaT1CoolingZoneInSpec
2009-09-04 21:44,2009-09-04 21:59,DeltaT1CoolingZoneInSpec
2009-09-04 23:00,2009-09-04 23:14,DeltaT1CoolingZoneInSpec
2009-09-04 21:44,2009-09-04 23:14,RuntimeExcessive
2009-09-04 9:14,2009-09-04 23:45,PowerFactor
2009-09-05 8:44,2009-09-05 8:59,PowerFactor
2009-09-05 10:44,2009-09-05 11:14,DeltaT1CoolingZoneInSpec
2009-09-05 21:29,2009-09-05 23:14,DeltaT1CoolingZoneInSpec
2009-09-05 21:59,2009-09-05 23:14,RuntimeExcessive
2009-09-05 9:14,2009-09-05 23:44,PowerFactor
2009-09-06 9:44,2009-09-06 14:29,PowerFactor
2009-09-06 14:44,2009-09-06 15:59,PowerFactor
2009-09-06 21:45,2009-09-06 22:14,RuntimeExcessive
2009-09-06 16:29,2009-09-06 22:44,PowerFactor
2009-09-07 5:44,2009-09-07 8:30,PowerFactor
2009-09-07 8:44,2009-09-07 8:59,PowerFactor
2009-09-07 9:14,2009-09-07 11:44,PowerFactor
2009-09-07 12:14,2009-09-07 12:29,PowerFactor
2009-09-07 16:29,2009-09-07 16:59,PowerFactor
2009-09-07 21:59,2009-09-07 22:14,RuntimeExcessive
2009-09-07 17:44,2009-09-07 22:44,PowerFactor
2009-09-07 22:33,2009-09-07 23:44,DATACHECK
2009-09-08 5:44,2009-09-08 7:59,PowerFactor
2009-09-08 2:04,2009-09-08 8:26,NOCOMMS
2009-09-08 10:45,2009-09-08 12:29,DeltaT1CoolingZoneInSpec
2009-09-08 16:15,2009-09-08 17:14,DATACHECK
2009-09-08 8:14,2009-09-08 22:44,PowerFactor
2009-09-09 21:59,2009-09-09 22:14,RuntimeExcessive
2009-09-09 8:44,2009-09-09 22:45,PowerFactor
2009-09-10 21:44,2009-09-10 22:14,RuntimeExcessive
2009-09-10 8:44,2009-09-10 22:44,PowerFactor
2009-09-11 4:31,2009-09-11 7:51,NOCOMMS
2009-09-11 21:59,2009-09-11 23:14,RuntimeExcessive
2009-09-11 8:44,2009-09-11 23:44,PowerFactor
2008-12-16 20:14,2009-09-12 19:59,DeltaT2HeatingZoneNotSpec
2009-09-12 21:59,2009-09-12 23:14,RuntimeExcessive
2009-09-12 8:44,2009-09-12 23:44,PowerFactor
2009-09-13 21:59,2009-09-13 22:14,RuntimeExcessive
2009-09-13 9:44,2009-09-13 22:44,PowerFactor
2009-09-14 6:44,2009-09-14 7:59,PowerFactor
2009-09-14 8:29,2009-09-14 9:15,PowerFactor
2009-09-14 22:00,2009-09-15 9:44,RuntimeExcessive
2009-09-14 9:30,2009-09-15 9:59,PowerFactor
2009-09-15 10:14,2009-09-15 22:29,PowerFactor
2009-09-15 15:28,2009-09-15 22:38,NOCOMMS
2009-09-16 8:44,2009-09-16 22:44,PowerFactor
2009-09-17 9:29,2009-09-17 22:29,PowerFactor
2009-09-18 8:59,2009-09-18 23:59,PowerFactor
2009-09-19 8:59,2009-09-19 9:14,PowerFactor
2009-09-19 9:45,2009-09-19 23:44,PowerFactor
2009-09-20 9:59,2009-09-20 14:44,PowerFactor
2009-09-20 15:15,2009-09-20 15:59,PowerFactor
2009-09-20 16:59,2009-09-20 17:14,PowerFactor
2009-09-20 17:44,2009-09-20 22:45,PowerFactor
2009-09-21 6:14,2009-09-21 7:44,PowerFactor
2009-09-21 7:59,2009-09-22 3:14,PowerFactor
2009-09-22 9:44,2009-09-22 22:44,PowerFactor
2009-09-23 9:44,2009-09-23 22:45,PowerFactor
2009-09-24 9:44,2009-09-24 22:44,PowerFactor
2009-09-25 9:44,2009-09-25 23:44,PowerFactor
2009-09-26 9:29,2009-09-26 23:44,PowerFactor
2009-09-27 9:59,2009-09-27 13:30,PowerFactor
2009-09-27 13:45,2009-09-27 14:44,PowerFactor
2009-09-27 14:59,2009-09-27 22:44,PowerFactor
2009-09-28 7:14,2009-09-28 7:30,PowerFactor
2009-09-28 8:29,2009-09-28 22:29,PowerFactor
2009-09-29 7:14,2009-09-29 7:29,PowerFactor
2009-09-29 7:45,2009-09-29 7:59,PowerFactor
2009-09-29 8:14,2009-09-29 22:29,PowerFactor
2009-09-30 8:44,2009-09-30 9:14,PowerFactor
2009-09-30 9:29,2009-09-30 14:29,PowerFactor
2009-09-30 14:44,2009-09-30 15:29,PowerFactor
2009-09-30 16:14,2009-09-30 16:44,PowerFactor
2009-09-30 16:59,2009-09-30 18:29,PowerFactor
2009-09-30 18:44,2009-09-30 22:44,PowerFactor
2009-10-01 9:14,2009-10-01 22:29,PowerFactor
2009-10-01 22:33,2009-10-01 23:44,DATACHECK
2009-10-02 15:44,2009-10-02 16:44,DATACHECK
2009-10-02 16:44,2009-10-02 16:59,ShortCircuit
2009-10-02 9:44,2009-10-02 23:14,PowerFactor
2009-10-03 10:14,2009-10-03 23:44,PowerFactor
2009-10-04 9:44,2009-10-04 22:29,PowerFactor
2009-10-05 9:29,2009-10-05 22:44,PowerFactor
2009-10-06 9:44,2009-10-06 22:44,PowerFactor
